지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
108,서울,2020-01-01,-2.2,-6.5,.3
108,서울,2020-01-02,1,-.7,3.8
108,서울,2020-01-03,-.1,-3.4,4.6
108,서울,2020-01-04,1.2,-2.8,6.1
108,서울,2020-01-05,1.3,-3.2,6.6
108,서울,2020-01-06,3.1,.6,4.6
108,서울,2020-01-07,6.3,4.2,7.7
108,서울,2020-01-08,2.4,-.4,8.9
108,서울,2020-01-09,-1.2,-3.1,2
108,서울,2020-01-10,-.6,-4.3,4.2
108,서울,2020-01-11,-.1,-2.6,3.9
108,서울,2020-01-12,-1,-3.5,2.8
108,서울,2020-01-13,-2.9,-4.7,.2
108,서울,2020-01-14,-2.3,-5.7,2.6
108,서울,2020-01-15,-2.7,-6.4,2.2
108,서울,2020-01-16,-1.7,-5.5,3.2
108,서울,2020-01-17,-.6,-4.8,4.9
108,서울,2020-01-18,.3,-4.1,5.9
108,서울,2020-01-19,1.9,-.4,5.3
108,서울,2020-01-20,.7,-3.3,5.5
108,서울,2020-01-21,-.4,-5.6,5.5
108,서울,2020-01-22,3,-.1,7.8
108,서울,2020-01-23,4.6,0,9.9
108,서울,2020-01-24,2.8,-1.3,7.4
108,서울,2020-01-25,4.3,.6,8.8
108,서울,2020-01-26,5.5,-.2,11.9
108,서울,2020-01-27,5.9,4.8,7.5
108,서울,2020-01-28,6.8,4.3,9.9
108,서울,2020-01-29,6,3.2,9.6
108,서울,2020-01-30,5.2,1.4,10.4
108,서울,2020-01-31,3.9,1.4,8.9
